gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,1,2,1,1,67.56,165.73,1,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
0,0,1,0,36,1,0,76.52,2709.78,0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
0,0,0,1,39,1,0,38.81,1365.9,0,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
0,1,0,0,71,1,1,103.02,7288.26,1,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
1,0,1,0,39,1,0,29.18,1094.69,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
1,1,0,0,55,1,0,89.72,4952.05,1,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False
0,1,0,1,22,1,0,89.38,2130.65,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,0,1,1,10,1,0,35.53,390.06,0,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
0,0,1,0,63,1,0,120.0,7696.8,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
1,1,1,0,7,1,1,71.71,530.41,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,1,1,0,55,1,0,84.38,4609.41,0,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
1,0,0,1,59,0,1,18.95,1135.45,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,1,0,9,1,0,120.0,1169.03,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
1,0,0,0,38,1,1,28.02,1156.24,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,0,0,27,1,1,95.51,2550.0,0,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False
1,0,1,0,48,1,0,34.92,1688.82,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
0,0,0,0,35,1,0,46.19,1545.19,1,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
0,0,1,0,12,1,1,88.42,1102.27,1,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False
0,0,0,1,35,1,1,95.59,3423.32,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
0,0,0,0,25,1,1,26.62,667.49,1,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False
0,0,0,1,3,1,0,97.47,259.04,1,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False
1,0,0,0,63,1,0,96.11,6072.94,0,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False
0,0,1,0,37,1,1,36.62,1375.81,0,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,1,21,0,0,112.72,2371.18,0,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,0,1,1,0,21.05,29.99,1,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
0,1,0,1,30,1,1,46.02,1371.91,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
1,0,0,0,10,1,0,79.13,841.1,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,45,1,1,39.15,1798.56,0,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
1,1,1,1,61,0,0,72.67,4383.71,0,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
0,0,1,0,68,1,1,71.99,4844.79,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,0,0,0,63,1,1,59.15,3713.73,1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False
1,0,1,1,9,1,1,89.73,844.41,0,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
1,0,0,1,39,1,1,57.91,2265.89,1,False,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True
1,0,0,0,23,1,0,71.71,1617.17,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
1,0,1,0,43,1,1,99.15,4276.53,1,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,1,0,59,0,1,88.48,5203.78,1,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True
1,0,0,1,61,1,0,88.34,5432.76,0,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
1,0,1,1,16,1,1,30.28,501.13,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False
1,0,0,0,64,1,1,80.5,5136.24,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
0,0,1,1,56,1,0,38.41,2162.54,1,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True
0,0,0,1,54,1,0,26.32,1487.03,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True
1,0,1,1,52,1,1,62.61,3227.24,0,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
0,1,0,0,55,1,1,37.63,2089.78,0,False,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False
0,0,1,0,8,1,0,88.48,704.32,1,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
0,0,0,0,21,1,1,89.2,1894.55,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False
0,0,1,0,12,1,1,18.0,183.27,0,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True
1,0,0,0,47,1,1,39.91,1881.29,1,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,0,0,0,17,1,1,20.97,411.88,1,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,1,39,1,0,50.88,1937.47,0,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False
0,1,1,0,16,1,0,78.42,1188.25,1,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,0,1,0,14,1,0,57.49,740.29,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False
0,1,0,0,14,1,0,47.07,600.45,1,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0,0,0,62,0,1,103.77,6463.51,0,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
0,0,0,0,38,1,1,18.0,613.71,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
1,0,1,1,12,1,0,101.87,1207.55,0,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False
0,1,1,0,31,1,1,48.43,1532.24,1,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False
1,0,0,0,8,1,1,62.42,520.19,1,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
0,0,0,0,39,1,0,48.94,1889.38,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
1,0,0,0,19,0,1,111.05,2119.5,0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
1,0,1,0,72,1,1,27.83,2009.12,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
0,0,0,1,62,0,0,65.11,4025.61,1,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,1,0,43,0,0,80.58,3454.4,0,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
0,0,1,1,37,1,1,18.0,777.77,0,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False
0,0,0,0,59,1,0,37.16,2232.91,0,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
0,0,0,0,70,1,1,60.31,4345.73,1,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,47,1,1,38.16,1768.67,0,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0,17,1,0,40.29,680.68,0,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,0,15,1,0,54.26,747.29,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
0,1,0,1,54,1,1,84.25,4509.02,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,0,0,0,38,1,1,54.48,2165.34,0,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
0,0,1,1,67,1,1,97.11,6480.27,0,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False
0,0,1,0,58,1,1,34.83,2116.1,1,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
0,0,1,1,61,1,1,27.2,1597.03,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
1,0,0,1,12,1,1,120.0,1387.33,0,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
1,0,1,0,5,1,1,45.02,208.04,1,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
0,0,1,1,59,1,1,25.43,1497.18,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False
0,0,1,0,13,1,1,18.0,280.15,0,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False
0,0,1,0,53,1,0,97.01,5164.07,0,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False
0,0,1,1,3,1,1,54.52,142.74,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0,38,1,1,57.15,2165.03,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,1,71,1,0,59.98,4242.63,0,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True
0,0,0,1,24,1,0,95.15,2237.87,1,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,0,31,1,1,59.37,1796.07,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0,0,1,58,1,1,120.0,7011.39,0,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True
0,0,0,0,62,1,0,68.77,4172.33,0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
1,0,0,1,37,1,1,96.61,3655.44,0,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0,1,52,1,0,88.92,4606.69,0,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0,0,1,0,66,1,1,63.67,4163.59,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,0,27,1,1,47.15,1310.04,0,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
0,1,0,1,2,1,1,74.72,223.7,0,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False
1,0,0,0,21,1,0,80.06,1737.14,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0,1,37,1,0,47.58,1785.55,0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False
0,0,0,0,71,1,1,69.75,5006.59,0,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0,0,0,71,1,1,101.85,7145.53,0,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,0,61,1,1,120.0,7293.91,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1,0,1,0,56,1,1,90.39,5016.28,0,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False
0,0,0,0,5,1,0,120.0,661.23,1,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False
1,0,0,0,31,1,1,45.88,1403.11,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True
1,0,1,0,9,1,0,85.82,814.65,1,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0,2,0,0,104.92,236.63,1,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
0,0,1,1,58,1,0,37.87,2153.34,0,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
1,0,0,0,48,1,0,50.19,2379.77,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
0,0,1,0,58,1,1,116.9,6844.89,0,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False
0,0,1,0,30,1,1,35.51,1026.53,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,0,0,68,1,1,24.53,1674.28,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,1,1,0,61,1,1,110.6,6707.47,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,51,1,1,100.66,5117.96,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,40,1,1,77.72,3106.49,0,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True
1,0,0,0,30,1,0,63.39,1862.56,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,21,1,1,51.6,1035.58,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,0,1,0,3,1,0,73.22,233.97,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,12,1,0,112.15,1303.56,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
1,0,0,0,44,1,0,71.92,3123.95,1,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True
1,0,0,0,41,1,1,120.0,4873.05,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
0,0,0,1,48,1,1,37.82,1811.46,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True
1,0,0,1,19,1,1,64.17,1266.42,0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0,53,1,1,53.57,2914.54,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False
0,0,0,0,35,0,1,32.21,1091.05,0,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False
0,0,1,1,0,1,0,60.17,107.52,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,1,0,0,14,1,1,77.28,1031.68,0,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
1,0,1,0,16,1,1,80.49,1342.02,1,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
1,0,0,0,23,1,0,120.0,2723.92,0,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
1,0,0,0,57,1,1,78.69,4441.78,0,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
0,0,0,0,71,1,1,99.26,7010.22,0,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False
1,0,1,1,22,1,0,66.74,1465.66,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,45,1,1,115.1,5208.5,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,0,1,0,71,1,0,120.0,8553.49,1,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1,0,1,1,7,1,1,80.69,517.63,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,0,1,0,58,1,0,34.98,1979.36,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
0,0,0,0,58,1,1,48.3,2755.57,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,0,0,0,12,1,1,73.22,873.07,0,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True
0,0,1,0,38,1,0,78.45,2970.59,0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1,0,1,1,27,1,1,85.71,2266.66,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
0,0,1,0,60,1,1,78.57,4727.68,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1,0,0,0,15,1,1,64.97,1087.68,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,1,0,0,1,1,1,45.67,20.43,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
0,0,0,1,16,1,1,76.79,1206.96,0,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False
0,0,0,0,29,1,0,120.0,3507.98,0,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False
0,0,0,0,12,1,1,95.36,1116.38,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0,0,1,12,1,0,80.8,1003.05,0,False,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False
0,0,1,1,42,0,1,95.65,3981.37,1,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,0,0,0,20,1,1,53.63,1164.21,0,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,54,1,0,49.51,2690.78,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
0,0,0,0,39,1,0,42.33,1619.87,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,14,1,1,61.0,1916.69,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,1,0,0,72,1,1,52.1,3725.51,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,51,1,1,101.01,5220.15,0,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False
0,0,0,1,52,1,1,50.5,2562.56,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
0,0,0,0,51,0,0,40.68,2041.28,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
0,1,1,1,29,0,1,120.0,3451.92,0,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
1,0,1,0,32,1,0,51.22,1638.26,0,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
1,0,1,1,56,1,1,69.37,3871.16,0,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
1,1,1,1,51,1,1,78.3,3918.74,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
1,1,0,0,8,1,0,30.66,225.29,1,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
1,0,1,1,53,1,1,101.82,5391.48,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
1,0,0,0,0,1,1,83.87,0.0,1,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,1,43,1,0,111.51,4829.27,1,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,0,0,8,1,0,44.38,401.01,1,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
1,1,1,0,31,1,0,67.73,2095.71,0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
1,0,0,1,14,1,1,65.94,934.69,1,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True
0,0,0,1,11,1,1,72.68,691.43,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
1,0,0,0,56,1,0,21.12,1916.69,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
1,0,0,0,7,1,1,68.09,526.87,0,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
0,0,0,0,71,1,0,21.97,1538.7,1,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,1,0,26,1,1,75.51,1926.4,1,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
1,0,0,0,61,1,1,18.0,1211.88,0,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
1,0,1,1,11,1,0,18.0,288.95,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1,0,1,0,64,1,1,89.32,5739.86,1,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
1,0,1,0,41,0,1,48.35,2039.3,0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
0,0,1,0,61,1,1,35.12,2031.02,0,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False
0,0,1,0,10,0,1,102.89,989.52,1,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False
0,0,1,0,42,1,1,74.59,3109.28,1,False,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True
1,0,0,0,16,1,1,90.92,1442.92,1,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
1,0,0,0,31,1,1,59.77,1828.37,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
